year,region,latitude,longitude,population,values_year,1_against_people_indicator,2_against_freedom_indicator,3_sexual_freedom_indicator,4_family_relationships_indicator,5_property_crimes_indicator,6_collective_security_indicator,7_forgeries_indicator,8_public_administration_indicator,9_justice_administration_indicator,Values_year_PCA
2019,9,35.8894,-5.3198,84777.0,283,0,1,0,0,0,0,0,0,0,-0.45730048503726894
2019,10,35.293,-2.9387,86487.0,296,0,1,0,0,0,0,0,0,0,-0.4551761411360584
2018,0,37.3873,-5.9869,8384408.0,24513,0,1,0,0,0,0,0,0,0,0.3310267356139638
2018,1,41.6488,-0.8891,1308728.0,2233,0,1,0,0,0,0,0,0,0,-0.3960642736321569
2018,2,43.3619,-5.8494,1028244.0,1751,0,1,0,0,0,0,0,0,0,-0.4059128463091829
2018,3,39.5712,2.6466,1128908.0,4373,0,1,0,0,0,0,0,0,0,-0.32244415090356915
2018,5,28.2916,-16.6291,2127685.0,8955,0,1,0,0,0,0,0,0,0,-0.17995444021392623
2018,4,43.1828,-3.9878,580229.0,1366,0,1,0,0,0,0,0,0,0,-0.423281807655808
2018,7,41.6523,-4.7245,2409164.0,5270,0,1,0,0,0,0,0,0,0,-0.2957306698541396
2018,6,39.8628,-4.0273,2026807.0,4566,0,1,0,0,0,0,0,0,0,-0.3236219489362017
2018,8,41.3851,2.1734,7600065.0,18562,0,1,0,0,0,0,0,0,0,0.19114499954559083
2018,11,39.4699,-0.3763,4963703.0,12488,0,1,0,0,0,0,0,0,0,-0.05804310051150592
2018,12,39.4765,-6.3722,1072863.0,2198,0,1,0,0,0,0,0,0,0,-0.3954205589056775
2018,13,42.5751,-8.1339,2701743.0,5819,0,1,0,0,0,0,0,0,0,-0.26866278490849776
2018,14,40.4168,-3.7038,6578079.0,14497,0,1,0,0,0,0,0,0,0,-0.005172509213707077
2018,15,37.9922,-1.1307,1478509.0,3414,0,1,0,0,0,0,0,0,0,-0.3591218496191954
2018,16,42.6954,-1.6761,647554.0,1681,0,1,0,0,0,0,0,0,0,-0.4104515546191562
2018,17,43.263,-2.9349,2199088.0,7830,0,1,0,0,0,0,0,0,0,-0.18883444566368235
2018,18,42.2871,-2.5396,315675.0,502,0,1,0,0,0,0,0,0,0,-0.45201043828346293
2018,9,35.8894,-5.3198,85144.0,248,0,1,0,0,0,0,0,0,0,-0.458117406023627
2018,10,35.293,-2.9387,86384.0,340,0,1,0,0,0,0,0,0,0,-0.4573110526429729
2017,0,37.3873,-5.9869,8379820.0,24427,0,1,0,0,0,0,0,0,0,0.11292400961690073
2017,1,41.6488,-0.8891,1308750.0,2071,0,1,0,0,0,0,0,0,0,-0.4109131717002886
2017,2,43.3619,-5.8494,1034960.0,1842,0,1,0,0,0,0,0,0,0,-0.42311777150036234
2017,3,39.5712,2.6466,1115999.0,4377,0,1,0,0,0,0,0,0,0,-0.36111784354647514
2017,5,28.2916,-16.6291,2108121.0,8825,0,1,0,0,0,0,0,0,0,-0.2669320308770846
2017,4,43.1828,-3.9878,580295.0,1344,0,1,0,0,0,0,0,0,0,-0.4358902092267976
2017,7,41.6523,-4.7245,2425801.0,5083,0,1,0,0,0,0,0,0,0,-0.3447309478768564
2017,6,39.8628,-4.0273,2031479.0,4362,0,1,0,0,0,0,0,0,0,-0.36269604982909065
2017,8,41.3851,2.1734,7555830.0,18110,0,1,0,0,0,0,0,0,0,0.09070102829922318
2017,11,39.4699,-0.3763,4941509.0,12282,0,1,0,0,0,0,0,0,0,-0.1585874187664167
2017,12,39.4765,-6.3722,1079920.0,2233,0,1,0,0,0,0,0,0,0,-0.4149500458863492
2017,13,42.5751,-8.1339,2708339.0,5935,0,1,0,0,0,0,0,0,0,-0.3219558106172472
2017,14,40.4168,-3.7038,6507184.0,14066,0,1,0,0,0,0,0,0,0,-0.1364867455184745
2017,15,37.9922,-1.1307,1470273.0,3312,0,1,0,0,0,0,0,0,0,-0.38651007272242094
2017,16,42.6954,-1.6761,643234.0,1677,0,1,0,0,0,0,0,0,0,-0.42519846020434127
2017,17,43.263,-2.9349,2194158.0,7722,0,1,0,0,0,0,0,0,0,-0.2262549116649461
2017,18,42.2871,-2.5396,315381.0,461,0,1,0,0,0,0,0,0,0,-0.4554184787387145
2017,9,35.8894,-5.3198,84959.0,252,0,1,0,0,0,0,0,0,0,-0.4599379997170555
2017,10,35.293,-2.9387,86120.0,356,0,1,0,0,0,0,0,0,0,-0.4608219455566418
2016,0,37.3873,-5.9869,8388107.0,23184,0,1,0,0,0,0,0,0,0,-0.08608886328057754
2016,1,41.6488,-0.8891,1308563.0,2134,0,1,0,0,0,0,0,0,0,-0.42672843143853373
2016,2,43.3619,-5.8494,1042608.0,1824,0,1,0,0,0,0,0,0,0,-0.4400405551820936
2016,3,39.5712,2.6466,1107220.0,4258,0,1,0,0,0,0,0,0,0,-0.3989409266979341
