year,region,1_against_people,2_against_freedom,3_sexual_freedom,4_family_relationships,5_property_crimes,6_collective_security,7_forgeries,8_public_administration,9_justice_administration,Latitude,Longitude,avg_crimes,years_from_today,population
2012,6,11949,1286,258,340,53616,3749,663,7,1021,39.8628,-4.0273,3892.2195121951218,12,2.121.888
2012,8,37270,10819,1633,2416,379323,8282,3855,30,3478,41.3851,2.1734,23134.19512195122,12,7.570.908
2012,11,33893,4640,1175,1018,217131,8518,2234,55,4215,39.4699,-0.3763,14754.878048780487,12,5.129.266
2012,12,5312,629,134,248,20166,1480,246,5,514,39.4765,-6.3722,1493.5853658536585,12,1.108.130
2012,13,14814,1761,358,236,56690,6032,549,10,1048,42.5751,-8.1339,4286.780487804878,12,2.781.498
2012,14,37374,3846,1310,1302,329046,7649,2996,37,4013,40.4168,-3.7038,20855.70731707317,12,6.498.560
2012,15,9550,1191,285,571,41734,1684,542,9,971,37.9922,-1.1307,3023.560975609756,12,1.474.449
2012,16,2563,974,111,87,15739,1022,226,13,234,42.6954,-1.6761,1098.2439024390244,12,644.566
2012,17,12425,4713,371,435,66523,3335,680,26,1458,43.263,-2.9349,4658.609756097561,12,2.193.093
2012,18,1623,195,47,26,7267,516,81,1,147,42.2871,-2.5396,524.2439024390244,12,323.609
2012,9,812,175,15,74,3433,1806,325,2,157,35.8894,-5.3198,341.9024390243902,12,84.018
2012,10,887,87,26,21,2770,314,244,3,69,35.293,-2.9387,228.90243902439025,12,80.802
2011,0,64275,7145,1725,1480,295431,19296,3265,70,6537,37.3873,-5.9869,21024.463414634145,13,8.424.102
2011,1,6848,1038,271,139,38211,1640,401,17,627,41.6488,-0.8891,2567.243902439024,13,1.346.293
2011,2,6256,532,125,160,18959,1583,179,7,516,43.3619,-5.8494,1462.1951219512196,13,1.081.487
2011,3,9608,1590,419,212,57572,2524,450,24,832,39.5712,2.6466,3828.268292682927,13,1.113.114
2011,5,21243,2228,529,919,65378,4722,662,16,1428,28.2916,-16.6291,5011.268292682927,13,2.126.769
2011,4,3711,384,81,50,11901,1098,159,1,327,43.1828,-3.9878,916.6829268292682,13,593.121
2011,7,14733,1266,278,248,59573,4280,453,4,1105,41.6523,-4.7245,4227.951219512195,13,2.558.463
2011,6,12264,1358,327,241,52494,4315,713,9,1109,39.8628,-4.0273,3866.6341463414633,13,2.115.334
2011,8,38159,10904,1862,2087,375452,11715,4339,45,3724,41.3851,2.1734,23216.536585365855,13,7.539.618
2011,11,34817,4863,1244,941,221719,8729,2569,42,4337,39.4699,-0.3763,14930.975609756097,13,5.117.190
2011,12,5655,683,178,159,19568,1638,246,5,542,39.4765,-6.3722,1487.4634146341464,13,1.109.367
2011,13,14957,1807,398,169,54185,6888,540,22,1120,42.5751,-8.1339,4167.804878048781,13,2.795.422
2011,14,38965,4105,1443,1174,325156,7342,3737,28,4387,40.4168,-3.7038,20630.243902439026,13,6.489.680
2011,15,10017,1294,316,505,41304,1748,620,3,931,37.9922,-1.1307,3012.4634146341464,13,1.470.069
2011,16,2961,711,113,105,14576,1194,264,21,230,42.6954,-1.6761,1041.4146341463415,13,642.051
2011,17,12633,4679,435,380,63215,3568,702,18,1357,43.263,-2.9349,4490.292682926829,13,2.184.606
2011,18,1625,150,62,18,7007,618,93,0,141,42.2871,-2.5396,504.390243902439,13,322.955
2011,9,783,203,13,39,2860,1741,339,4,84,35.8894,-5.3198,303.8292682926829,13,82.376
2011,10,948,95,34,27,2917,347,248,2,67,35.293,-2.9387,246.09756097560975,13,78.476
2010,0,63795,6570,1768,1405,303476,16049,2638,101,5957,37.3873,-5.9869,21224.243902439026,14,8.370.975
2010,1,6752,966,310,140,39806,1380,331,11,593,41.6488,-0.8891,2637.9024390243903,14,1.347.095
2010,2,6171,660,153,117,18724,1194,129,2,519,43.3619,-5.8494,1435.6829268292684,14,1.084.341
2010,3,8938,1515,426,161,54693,2078,388,20,888,39.5712,2.6466,3614.0,14,1.106.049
2010,5,21268,2133,598,836,61351,4187,439,22,1312,28.2916,-16.6291,4770.09756097561,14,2.118.519
2010,4,3564,375,106,56,11770,777,104,3,246,43.1828,-3.9878,883.390243902439,14,592.250
2010,7,14241,1260,295,229,61232,3843,432,12,1130,41.6523,-4.7245,4284.609756097561,14,2.559.515
2010,6,12305,1099,307,222,50702,3775,550,7,1149,39.8628,-4.0273,3696.048780487805,14,2.098.373
2010,8,37650,10503,1825,1800,388023,10534,4550,52,3766,41.3851,2.1734,23903.975609756097,14,7.512.381
2010,11,34995,4431,1303,802,225991,7933,2259,60,4249,39.4699,-0.3763,15089.341463414634,14,5.111.706
2010,12,6059,570,159,182,20060,1489,197,3,536,39.4765,-6.3722,1520.5365853658536,14,1.107.220
2010,13,14617,1750,389,169,51987,5266,447,17,1150,42.5751,-8.1339,3934.170731707317,14,2.797.653
2010,14,39030,3796,1339,726,336388,7563,3370,46,3802,40.4168,-3.7038,21133.780487804877,14,6.458.684
2010,15,9882,1169,288,490,41988,1579,485,10,882,37.9922,-1.1307,3000.317073170732,14,1.461.979
2010,16,2726,675,130,82,13770,1059,259,21,235,42.6954,-1.6761,977.4146341463414,14,636.924
2010,17,11792,4257,417,337,65555,3241,543,25,1170,43.263,-2.9349,4515.878048780488,14,2.178.339
2010,18,1695,170,49,31,6555,519,54,0,137,42.2871,-2.5396,484.8048780487805,14,322.415
2010,9,833,277,18,31,3053,1381,53,2,101,35.8894,-5.3198,300.8048780487805,14,80.579
2010,10,1011,126,38,30,2810,304,42,1,70,35.293,-2.9387,237.9512195121951,14,76.034
