year,region,latitude,longitude,population,variable,value,1_against_people_indicator,2_against_freedom_indicator,3_sexual_freedom_indicator,4_family_relationships_indicator,5_property_crimes_indicator,6_collective_security_indicator,7_forgeries_indicator,8_public_administration_indicator,9_justice_administration_indicator,Values_year_PCA,values_year_minus_1,values_year_minus_2,values_year_minus_3
2020,15,37.9922,-1.1307,1493898.0,9_justice_administration,877.4044444444442,0,0,0,0,0,0,0,0,1,-0.4223780706518194,,,
2020,16,42.6954,-1.6761,654214.0,9_justice_administration,344.18694444444463,0,0,0,0,0,0,0,0,1,-0.4453475901175481,,,
2020,17,43.263,-2.9349,2207776.0,9_justice_administration,1405.1541666666665,0,0,0,0,0,0,0,0,1,-0.4024992989452534,,,
2020,18,42.2871,-2.5396,316798.0,9_justice_administration,166.27611111111108,0,0,0,0,0,0,0,0,1,-0.4530345831624536,,,
2020,9,35.8894,-5.3198,84777.0,9_justice_administration,187.4322222222222,0,0,0,0,0,0,0,0,1,-0.4534652572024581,,,
2020,10,35.293,-2.9387,86487.0,9_justice_administration,94.96444444444444,0,0,0,0,0,0,0,0,1,-0.4569520051685772,,,
2021,0,37.3873,-5.9869,8414240.0,1_against_people,39193.46916666666,1,0,0,0,0,0,0,0,0,0.9148185669891498,,,
2021,1,41.6488,-0.8891,1319291.0,1_against_people,4165.644166666668,1,0,0,0,0,0,0,0,0,-0.28872682135539807,,,
2021,2,43.3619,-5.8494,1022800.0,1_against_people,3216.833611111109,1,0,0,0,0,0,0,0,0,-0.33588499728949034,,,
2021,3,39.5712,2.6466,1149460.0,1_against_people,7070.700833333342,1,0,0,0,0,0,0,0,0,-0.16872779177521935,,,
2021,5,28.2916,-16.6291,2153389.0,1_against_people,12128.941388888892,1,0,0,0,0,0,0,0,0,0.0007207358458583643,,,
2021,4,43.1828,-3.9878,581078.0,1_against_people,1920.2622222222217,1,0,0,0,0,0,0,0,0,-0.38179599423586225,,,
2021,7,41.6523,-4.7245,2399548.0,1_against_people,6810.446944444442,1,0,0,0,0,0,0,0,0,-0.18197648937729857,,,
2021,6,39.8628,-4.0273,2032863.0,1_against_people,6342.028055555558,1,0,0,0,0,0,0,0,0,-0.19430863880384633,,,
2021,8,41.3851,2.1734,7675217.0,1_against_people,20574.881666666657,1,0,0,0,0,0,0,0,0,0.33983897624840614,,,
2021,11,39.4699,-0.3763,5003769.0,1_against_people,23493.541388888865,1,0,0,0,0,0,0,0,0,0.3923259747556219,,,
2021,12,39.4765,-6.3722,1067710.0,1_against_people,3371.050277777777,1,0,0,0,0,0,0,0,0,-0.3386091541109075,,,
2021,13,42.5751,-8.1339,2699499.0,1_against_people,7404.859722222219,1,0,0,0,0,0,0,0,0,-0.15230523640497784,,,
2021,14,40.4168,-3.7038,6663394.0,1_against_people,25503.28472222222,1,0,0,0,0,0,0,0,0,0.6130308738608478,,,
2021,15,37.9922,-1.1307,1493898.0,1_against_people,6062.220000000001,1,0,0,0,0,0,0,0,0,-0.22564978822404755,,,
2021,16,42.6954,-1.6761,654214.0,1_against_people,2904.213611111109,1,0,0,0,0,0,0,0,0,-0.36128955212875136,,,
2021,17,43.263,-2.9349,2207776.0,1_against_people,6114.236388888888,1,0,0,0,0,0,0,0,0,-0.2106705948895078,,,
2021,18,42.2871,-2.5396,316798.0,1_against_people,1098.7047222222232,1,0,0,0,0,0,0,0,0,-0.42022771289641436,,,
2021,9,35.8894,-5.3198,84777.0,1_against_people,795.0027777777785,1,0,0,0,0,0,0,0,0,-0.4328882910041112,,,
2021,10,35.293,-2.9387,86487.0,1_against_people,926.0547222222217,1,0,0,0,0,0,0,0,0,-0.42550373409890946,,,
2021,0,37.3873,-5.9869,8414240.0,2_against_freedom,24015.819444444456,0,1,0,0,0,0,0,0,0,0.4974028044792253,,,
2021,1,41.6488,-0.8891,1319291.0,2_against_freedom,3416.830833333335,0,1,0,0,0,0,0,0,0,-0.37573982748602913,,,
2021,2,43.3619,-5.8494,1022800.0,2_against_freedom,3104.131944444445,0,1,0,0,0,0,0,0,0,-0.38995062437661593,,,
2021,3,39.5712,2.6466,1149460.0,2_against_freedom,4637.197777777778,0,1,0,0,0,0,0,0,0,-0.2874529524724879,,,
