region,1_against_people,1.1_intentional_homicides_murders,1.1.1_intentional_homicides_murders_committed,1.2_injuries,1.3_domestic_violence,1.4_other_crimes_against_people,2_against_freedom,2.1_habitual_domestic_violence,2.2_other_crimes_against_freedom,3_sexual_freedom,3.1_sexual_assault,3.1.1_sexual_assault_with_penetration,3.2_corruption_of_minors_or_disabled,3.3_child_pornography,3.4_other_crimes_against_sexual_freedom,4_family_relationships,5_property_crimes,5.1_thefts,5.2_robbery_with_force,521_Robos_con_fuerza_en_las_cosas_en_el_interior_de_vehículos,5.2.2_robbery_with_force_in_homes,5.2.3_robbery_with_force_in_establishments,5.3_robbery_with_violence_or_intimidation,5.3.1_robbery_with_violence_in_public_ways,5.3.2_robbery_with_violence_in_homes,5.3.3_robbery_with_violence_in_establishments,5.4_vehicle_theft,5.5_fraud,5.5.1_computer_fraud,5.6_damage,5.7_against_intellectual_industrial_property,5.8_money_laundering,5.9_other_property_crimes,6_collective_security,6.1_drug_trafficking,6.2_against_road_safety,6.3_other_collective_security_crimes,7_forgeries,8_public_administration,9_justice_administration,10_public_order,11_special_legislation,12_other_criminal_offenses,total_criminal_offenses,year
NAVARRA (COMUNIDAD FORAL DE),2109,23,1,1108,933,45,1712,143,1569,241,129,36,15,13,48,96,16861,4469,2202,635,666,388,226,151,17,32,131,6393,3903,2841,9,6,584,1162,146,976,40,435,18,387,428,0,147,23596,2020
PAÍS VASCO,5730,42,13,3609,1661,418,7630,2716,4914,602,293,158,14,41,96,136,55878,17916,9408,30,3651,1503,1053,725,93,138,632,18882,16591,6414,10,9,1554,2464,566,1788,110,1087,18,1401,1680,6,544,77176,2020
RIOJA (LA),942,8,5,500,413,21,555,73,482,104,47,13,8,4,32,25,5460,1475,806,155,352,99,78,44,5,19,31,2015,1787,852,2,1,200,295,72,199,24,55,0,139,208,0,44,7827,2020
CIUDAD AUTÓNOMA DE CEUTA,633,7,2,398,224,4,338,5,333,37,22,3,1,1,10,16,1714,471,198,90,37,30,128,97,6,8,84,432,359,350,1,0,50,356,220,133,3,192,1,116,174,4,67,3648,2020
CIUDAD AUTÓNOMA DE MELILLA,870,2,0,522,322,24,381,6,375,34,19,7,1,0,7,24,2319,778,364,246,44,22,300,220,2,16,42,442,351,323,1,0,69,419,232,180,7,99,1,101,174,0,48,4470,2020
ANDALUCÍA,37130,238,82,20624,15455,813,25751,2752,22999,2510,1462,401,92,132,423,1503,239711,91298,47542,17691,15349,6935,7302,4714,605,1163,6511,42358,23237,33332,439,82,10847,15094,4366,10270,458,3988,93,6728,4172,191,2450,339321,2019
ARAGÓN,4760,15,6,2407,2246,92,2276,285,1991,330,212,47,11,20,40,161,31651,10546,5471,1703,1568,737,1033,730,40,193,242,7976,4536,5122,34,3,1224,1360,351,972,37,446,3,799,570,2,225,42583,2019
ASTURIAS (PRINCIPADO DE),3368,18,7,1947,1344,59,1872,107,1765,193,121,28,3,11,30,99,19066,6780,2440,421,908,618,362,196,41,97,224,5577,3657,2824,18,1,840,1205,206,948,51,220,6,567,360,2,205,27163,2019
BALEARS (ILLES),8110,48,6,3774,4123,165,4718,526,4192,743,492,126,14,16,95,188,58274,26584,7883,2893,2598,965,1314,843,85,164,1429,13091,7702,5625,133,8,2207,2880,656,2051,173,716,11,1095,652,0,275,77662,2019
CANARIAS,12396,64,20,6922,5042,368,9328,850,8478,907,591,117,34,68,97,639,64716,26122,10888,4544,2886,1358,1535,905,154,256,1295,14386,7286,7480,154,14,2842,3439,603,2779,57,1114,17,1721,922,13,427,95639,2019
CANTABRIA,2053,15,6,1300,633,105,1455,135,1320,107,66,15,2,8,16,41,12953,4868,2471,439,1068,540,223,110,25,54,132,2261,1766,2245,17,0,736,716,86,622,8,162,3,282,168,0,133,18073,2019
CASTILLA Y LEÓN,7345,38,8,4571,2447,289,5398,532,4866,507,275,81,15,31,105,196,56640,19206,8819,1658,2965,1720,706,391,62,163,573,14634,9464,10845,51,9,1797,2911,447,2355,109,840,14,1186,750,10,566,76363,2019
CASTILLA - LA MANCHA,7335,41,11,4077,3048,169,4655,597,4058,520,327,72,15,31,75,326,50473,13831,11888,2688,4754,1685,978,586,82,162,615,11708,6445,8681,38,19,2715,3224,465,2659,100,1177,29,1250,766,6,547,70308,2019
CATALUÑA,21109,248,58,14002,6488,371,18675,1507,17168,3034,1545,953,7,211,318,1134,425113,192053,76612,33293,23753,11,26448,82,390,11,9711,63313,40016,43433,260,22,13261,8938,2615,6107,216,3791,58,3519,3073,13,808,489265,2019
COMUNITAT VALENCIANA,23332,148,40,11815,11011,358,13046,1764,11282,1749,1057,289,57,100,246,858,174091,68122,35068,10880,15271,4276,4950,3020,452,766,3190,29697,15758,26649,177,55,6183,7739,1979,5525,235,3250,48,4643,2671,11,1111,232549,2019
EXTREMADURA,3185,13,5,1932,1173,67,2423,265,2158,214,135,25,12,9,33,224,18583,6566,3379,706,994,646,320,177,35,71,144,3873,2410,3504,42,2,753,1248,323,843,82,445,8,680,290,5,286,27591,2019
GALICIA,8027,41,16,4804,3004,178,5692,700,4992,634,368,124,14,39,89,171,56924,18846,9618,2759,3135,2072,945,450,114,234,604,15690,9999,9311,101,8,1801,4992,517,4331,144,886,21,1409,718,6,544,80024,2019
MADRID (COMUNIDAD DE),29288,110,32,13704,14907,567,15655,1223,14432,2215,1292,455,55,108,305,822,337836,154169,47391,24125,11469,6462,15372,10896,871,1595,8030,62020,32841,42315,202,35,8302,7696,2577,4873,246,4042,55,4671,4428,24,1004,407736,2019
MURCIA (REGIÓN DE),6237,39,13,3449,2678,71,3741,364,3377,535,341,73,18,27,76,552,41700,15138,10780,2902,5017,1096,1536,917,124,258,909,6657,3358,4813,43,8,1816,1664,360,1244,60,708,14,1040,564,1,343,57099,2019
